Ticker
AAPL
MSFT
AMZN
GOOGL
META
NVDA
BRK.B
LLY
JPM
V
WMT
UNH
MA
PG
XOM
HD
KO
PFE
PEP
MRK
COST
AVGO
ABBV
ADBE
CRM
CSCO
TMO
ACN
MCD
WFC
CVX
TXN
DHR
LIN
ABT
QCOM
AMD
INTC
ORCL
UPS
BAC
NKE
PM
HON
AMAT
LOW
SBUX
INTU
NEE
BLK
CAT
GS
MDT
IBM
LMT
BA
DE
AMGN
GE
SPGI
BKNG
MS
C
UNP
RTX
T
GILD
ELV
ADP
CB
PLD
AXP
MMC
SYK
BDX
NOW
PNC
DUK
SO
CI
MO
ISRG
TGT
CSX
ADI
REGN
CL
D
EOG
ETN
MU
SHW
VRTX
ILMN
KMB
LRCX
WM
FDX
ZTS
MNST
MAR

